id,timestamp,prompt_preview,complexity_tier,selected_model_key,selected_model_id,provider,routing_reason,input_tokens,output_tokens,cost,latency_ms,baseline_model_key,baseline_estimated_cost,estimated_savings,estimated_savings_percent,verification_status,error_message
60,2026-06-21T14:07:13.829694+00:00,Create a nuanced escalation policy for when a cheap model response should be retried.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,20,500,0.0004437,27607.22,gpt_5_5,0.0151,0.0146563,97.06,sampled_pending,
59,2026-06-21T14:06:45.635033+00:00,Design a benchmark methodology for measuring routing savings against a baseline.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,16,500,0.00044196,10095.31,gpt_5_5,0.01508,0.01463804,97.07,not_sampled,
58,2026-06-21T14:06:33.899866+00:00,Evaluate whether prompt hashing is sufficient for privacy-preserving analytics.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,17,500,0.000442395,10005.48,gpt_5_5,0.015085,0.014642605,97.07,sampled_pending,
57,2026-06-21T14:06:23.085957+00:00,Optimize a request logging design for reliability under concurrent traffic.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,16,500,0.00044196,13391.6,gpt_5_5,0.01508,0.01463804,97.07,sampled_pending,
56,2026-06-21T14:06:09.010155+00:00,Create a detailed rollout plan for migrating an app from direct LLM calls to a router.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,22,500,0.00044457,11815.83,gpt_5_5,0.01511,0.01466543,97.06,not_sampled,
55,2026-06-21T14:05:56.794176+00:00,Analyze the security risks of exposing an OpenAI-compatible routing endpoint.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,18,500,0.00044283,19748.08,gpt_5_5,0.01509,0.01464717,97.07,not_sampled,
54,2026-06-21T14:05:36.671626+00:00,"Design deterministic verification checks for JSON, bullets, and instruction following.",complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,17,500,0.000442395,13841.71,gpt_5_5,0.015085,0.014642605,97.07,not_sampled,
53,2026-06-21T14:05:22.439271+00:00,Explain how to handle long-context prompts with strict cost controls.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,17,500,0.000442395,10108.59,gpt_5_5,0.015085,0.014642605,97.07,not_sampled,
52,2026-06-21T14:05:11.889091+00:00,Create an implementation plan for adding per-team cost attribution.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,17,500,0.00226275,4362.01,gpt_5_5,0.015085,0.01282225,85.0,sampled_pending,
51,2026-06-21T14:05:07.490741+00:00,"Analyze cost, latency, and quality tradeoffs for a multi-provider LLM gateway.",complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,23,500,0.000445005,7835.76,gpt_5_5,0.015115,0.014669995,97.06,not_sampled,
50,2026-06-21T14:04:59.265888+00:00,Design a fallback policy for OpenAI and OpenRouter outages.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,18,500,0.0022635,3876.23,gpt_5_5,0.01509,0.0128265,85.0,not_sampled,
